id,cliente_id,funcionario_id,data_abertura,canal,assunto,resolvido
1,396,13,2026-08-21,telefone,solicitacao de exclusao de dados (LGPD),1
2,69,13,2026-07-24,chat,solicitacao de exclusao de dados (LGPD),1
3,25,17,2026-08-21,telefone,solicitacao de exclusao de dados (LGPD),1
4,261,5,2026-01-15,e-mail,solicitacao de exclusao de dados (LGPD),0
5,375,5,2026-04-24,chat,problema no pagamento,1
6,308,17,2026-05-01,telefone,solicitacao de exclusao de dados (LGPD),1
7,215,17,2026-05-04,e-mail,troca de produto,1
8,204,9,2025-10-18,telefone,problema no pagamento,0
9,71,13,2026-06-14,e-mail,solicitacao de exclusao de dados (LGPD),1
10,360,17,2025-09-24,telefone,solicitacao de exclusao de dados (LGPD),1
11,112,5,2025-10-05,chat,solicitacao de exclusao de dados (LGPD),1
12,149,9,2026-06-20,e-mail,troca de produto,1
13,333,5,2026-08-30,e-mail,solicitacao de exclusao de dados (LGPD),1
14,327,9,2026-01-22,e-mail,duvida sobre pedido,1
15,288,13,2026-02-28,e-mail,solicitacao de exclusao de dados (LGPD),1
16,364,13,2026-08-26,e-mail,solicitacao de exclusao de dados (LGPD),1
17,217,1,2026-02-12,e-mail,duvida sobre pedido,0
18,196,5,2026-05-09,chat,duvida sobre pedido,0
19,137,5,2026-02-28,telefone,solicitacao de cancelamento,0
20,32,9,2026-06-21,chat,solicitacao de exclusao de dados (LGPD),0
21,184,13,2026-07-28,chat,solicitacao de exclusao de dados (LGPD),1
22,379,17,2026-02-23,chat,solicitacao de exclusao de dados (LGPD),1
23,122,17,2025-12-28,e-mail,solicitacao de cancelamento,1
24,341,1,2026-06-28,telefone,problema no pagamento,1
25,351,9,2026-03-11,e-mail,duvida sobre pedido,0
26,381,9,2026-06-05,chat,solicitacao de exclusao de dados (LGPD),1
27,116,9,2025-10-29,e-mail,solicitacao de exclusao de dados (LGPD),1
28,309,5,2026-06-18,e-mail,troca de produto,1
29,230,5,2025-11-17,e-mail,duvida sobre pedido,0
30,89,17,2026-06-15,chat,problema no pagamento,0
31,220,9,2026-07-01,e-mail,solicitacao de cancelamento,0
32,83,17,2026-04-23,telefone,duvida sobre pedido,1
33,239,5,2026-08-28,chat,troca de produto,1
34,306,1,2026-07-22,e-mail,solicitacao de exclusao de dados (LGPD),1
35,155,13,2026-09-05,e-mail,solicitacao de exclusao de dados (LGPD),1
36,38,9,2026-03-23,e-mail,troca de produto,0
37,267,1,2025-10-09,e-mail,troca de produto,1
38,279,17,2025-11-05,telefone,duvida sobre pedido,1
39,114,5,2026-08-20,e-mail,solicitacao de cancelamento,1
40,185,9,2025-09-10,chat,solicitacao de exclusao de dados (LGPD),1
41,244,17,2026-04-25,e-mail,duvida sobre pedido,0
42,343,9,2026-04-25,telefone,troca de produto,1
43,315,17,2026-01-28,chat,duvida sobre pedido,1
44,165,13,2026-05-26,chat,problema no pagamento,1
45,277,9,2026-05-17,chat,solicitacao de exclusao de dados (LGPD),1
46,264,17,2026-03-02,telefone,problema no pagamento,0
47,152,5,2026-02-01,telefone,solicitacao de exclusao de dados (LGPD),0
48,50,5,2026-01-09,e-mail,solicitacao de exclusao de dados (LGPD),0
49,321,1,2026-02-24,chat,troca de produto,1
50,218,1,2025-11-14,chat,solicitacao de exclusao de dados (LGPD),1
51,380,13,2026-03-23,e-mail,duvida sobre pedido,1
52,352,5,2026-06-14,chat,problema no pagamento,1
53,170,1,2026-04-23,chat,duvida sobre pedido,0
54,92,9,2025-12-24,e-mail,duvida sobre pedido,1
55,117,9,2026-07-04,telefone,problema no pagamento,1
56,323,13,2025-10-14,telefone,solicitacao de cancelamento,0
57,200,1,2025-12-06,e-mail,duvida sobre pedido,1
58,369,17,2025-12-31,chat,solicitacao de exclusao de dados (LGPD),0
59,359,1,2026-03-17,telefone,solicitacao de exclusao de dados (LGPD),0
60,149,9,2026-01-17,e-mail,duvida sobre pedido,1
61,392,13,2025-09-25,telefone,problema no pagamento,1
62,16,13,2026-04-14,chat,solicitacao de exclusao de dados (LGPD),0
63,70,13,2026-03-27,e-mail,solicitacao de cancelamento,1
64,74,9,2026-08-21,e-mail,solicitacao de cancelamento,0
65,284,17,2026-03-29,chat,duvida sobre pedido,0
66,3,17,2026-04-20,e-mail,problema no pagamento,1
67,281,1,2026-03-23,telefone,troca de produto,1
68,380,9,2026-07-31,chat,problema no pagamento,1
69,263,5,2026-09-02,chat,troca de produto,0
70,316,9,2026-02-19,chat,duvida sobre pedido,0
71,344,17,2025-12-26,chat,solicitacao de exclusao de dados (LGPD),1
72,331,17,2026-01-10,chat,solicitacao de cancelamento,1
73,35,9,2026-02-03,chat,troca de produto,1
74,298,13,2026-01-08,telefone,solicitacao de cancelamento,0
75,344,5,2026-06-28,chat,solicitacao de cancelamento,1
76,36,5,2025-11-15,telefone,problema no pagamento,1
77,169,17,2025-11-01,e-mail,solicitacao de cancelamento,1
78,300,5,2025-09-23,e-mail,solicitacao de exclusao de dados (LGPD),1
79,162,13,2026-07-20,chat,duvida sobre pedido,1
80,127,5,2026-06-19,e-mail,problema no pagamento,1
81,185,5,2026-08-15,e-mail,solicitacao de cancelamento,1
