id,cliente_id,data_pedido,valor,forma_pagamento,status
1,230,2025-08-26,1135.93,cartao_credito,enviado
2,358,2025-11-21,825.96,pix,enviado
3,111,2026-05-15,1820.32,pix,processando
4,48,2026-05-15,746.56,pix,entregue
5,310,2025-06-03,531.91,cartao_credito,cancelado
6,236,2025-04-19,1037.28,pix,processando
7,283,2024-12-01,585.21,boleto,entregue
8,186,2024-09-13,1113.77,boleto,processando
9,24,2025-09-29,1269.85,pix,processando
10,120,2026-08-28,1651.56,pix,entregue
11,233,2026-02-21,1222.27,pix,enviado
12,190,2024-12-30,700.7,boleto,entregue
13,360,2025-09-04,1782.08,boleto,processando
14,312,2026-02-17,1220.96,boleto,cancelado
15,126,2025-01-01,343.83,pix,entregue
16,328,2025-10-18,1319.88,cartao_credito,cancelado
17,167,2025-04-20,1607.6,cartao_credito,enviado
18,17,2026-01-04,1537.29,pix,entregue
19,34,2025-11-14,432.33,boleto,cancelado
20,162,2026-02-04,435.39,pix,entregue
21,330,2025-01-11,893.36,pix,enviado
22,127,2025-04-30,1425.58,boleto,entregue
23,383,2025-09-20,1127.23,boleto,entregue
24,186,2025-04-18,447.84,cartao_credito,entregue
25,253,2024-10-27,208.99,cartao_credito,processando
26,79,2026-05-21,1206.95,boleto,entregue
27,306,2025-04-23,158.06,pix,entregue
28,240,2024-09-19,1024.05,boleto,processando
29,349,2025-08-25,1380.44,boleto,entregue
30,385,2024-10-08,536.19,boleto,entregue
31,58,2025-02-22,585.81,cartao_credito,entregue
32,2,2025-04-14,1814.0,boleto,entregue
33,257,2026-06-10,1457.15,boleto,processando
34,321,2025-12-11,595.01,boleto,entregue
35,312,2024-12-11,409.87,pix,enviado
36,277,2024-10-18,1813.41,boleto,processando
37,307,2025-09-21,642.83,cartao_credito,processando
38,186,2025-05-02,1674.32,pix,enviado
39,30,2024-09-10,487.92,boleto,processando
40,44,2025-08-07,1401.25,cartao_credito,entregue
41,393,2025-06-07,273.81,boleto,entregue
42,282,2026-02-01,347.04,boleto,entregue
43,217,2026-06-16,1833.62,boleto,cancelado
44,354,2024-09-07,414.04,pix,entregue
45,344,2024-10-15,1248.67,pix,entregue
46,232,2025-03-21,264.97,cartao_credito,processando
47,174,2024-12-22,79.02,boleto,enviado
48,302,2025-06-06,449.5,cartao_credito,cancelado
49,324,2026-07-21,149.41,cartao_credito,processando
50,170,2025-04-15,171.69,cartao_credito,entregue
51,343,2026-05-09,942.77,boleto,enviado
52,371,2026-07-06,1779.96,boleto,entregue
53,243,2025-10-01,491.87,pix,entregue
54,98,2026-02-05,215.35,boleto,entregue
55,182,2026-04-27,827.76,pix,cancelado
56,28,2025-11-16,1292.36,boleto,processando
57,32,2025-01-05,788.78,pix,processando
58,128,2024-11-12,396.26,boleto,entregue
59,72,2026-03-14,824.6,pix,entregue
60,128,2025-04-05,1666.44,cartao_credito,entregue
61,282,2024-12-26,222.01,boleto,entregue
62,8,2026-03-30,1842.23,cartao_credito,enviado
63,209,2025-02-06,943.19,cartao_credito,entregue
64,31,2025-08-08,346.13,cartao_credito,entregue
65,136,2025-12-05,1763.22,pix,entregue
66,217,2026-08-21,1335.56,boleto,entregue
